Sl.No,SKU,CAR DETAILS AND PART NAME,PART NO,Ebay Price 
44,BLKU573,Audi A8 (2011–2018)4H0 959 760 D1front seat control module GENUINE USED,4H0 959 760 D,38.79
45,BLKU574, Audi A8 2010 to 20174H0 959 760 D1seat control module GENUINE USED,4H0 959 760 D,38.79
46,BLKU575,Volkswagen Touareg 2011–20177P6 907 530 B1Interface Module GENUINE USED,7P6 907 530 B,54.55
47,BLKU577,"Audi A3/A5/Q5/Q7 (’16–’19), A8/S8, Porsche, Bentley, VW7PP 941 592 A1headlight control module GENUINE USED",7PP 941 592 A,205.3
48,BLKU578,BENTLY MULSAN 20148K0.941.597.E1headlight ballast/control module GENUINE USED,8K0.941.597.E,31.03
49,BLKU581,BENTLY GTS 20127P5 837 1671Door lock cylinder GENUINE USED,7P5 837 167,67.85
50,BLKU582,BENTLY MUSALANNE 20158K0.959812.A1DOOR MOTOR RH GENUINE USED,8K0.959812.A,15.2
51,BLKU584,"VW Golf/Jetta IV–VII (1999–2018), Tiguan; Audi A3/A4/S4/S7 (2017+)4M0 907 397 B1headlight control module GENUINE USED",4M0 907 397 B,96.99
52,BLKU586,Bentley Continental GT/GTC (2011–2017)3W3 907 441 C1Camera systems. GENUINE USED,3W3 907 441 C,247.35
53,BLKU590,MASERATI LAVENTE 2014–2022)0 199 DC2 300 1stabilize the electrical voltage GENUINE USED,0 199 DC2 300 ,24.24
54,BLKU591,AUDI Q7 20144L0 907 290 A1Control Module (ECM)  GENUINE USED,4L0 907 290 A,22.3
55,BLKU593,BENTLY MUSLANNE 4M0 959 795 E1Control Module (ECM)  GENUINE USED,4M0 959 795 E,19.38
56,BLKU596,2021–2024 Audi RS74K0 907 777 CA 1control module  GENUINE USED,4K0 907 777 CA ,301.3
57,BLKU599,"Bentley Continental GT, GTC, and Flying Spur (2003–2014)3W0 907 801F1Electronic Parking Brake (EPB) Control Module  GENUINE USED",3W0 907 801F,156.12
64,BLKU114,AUDI PORSCHE  ECU ENGINE CONTROL UNIT,0P2907309A,436.5
73,BLKU124,"AUDI A4 ,A5,A6,A8,Q5,Q7 2017-2023 MODULE ",4MO907410,48.5
86,BLKU139,BENTLY BENTAYGA 2019  WINDOW MOTOR , 8W0 959 802,17.46
88,BLKU141,"
AUDI Q7 BLOWER MOTOR ",MB499800-0152,29.1
95,BLKU155,BENTLY BENTAGA 2019 SPEEDOMETER ,36A 920 770,679
124,BLKU229,AUDI 2012-2018 Air Suspension Control Module,4G0?907?553?G,81.48
162,BLKU278,Bentley Continental GT Comfort Control Module,3D0959933P,54.0484
181,BLKU322,Porsche Cayenne 2011–14) Combination Instrument Cluster,7P5?920?921?AF,97
184,BLKU328, Maserati Ghibli  2014–2017 Combination Instrument Cluster,5550102919,51.41
194,BLKU349,Audi A8 2014 to 2017 Multi Media Interface,4H0 035 764 T,97
197,BLKU353,Volkswagen Touareg 2011–2018  Driver Door Master Window Switch ,7PP 959 795 AA ,27.548
207,BLKU364,Porsche Cayenne 2011–2018 interior analog clock with compass,7P5919107K ,388
213,BLKU376,Porsche Cayenne (2011–2018) Lane Change Assist (LCA) control module ,7P5 910 568 C,52.38
220,BLKU392,Maserati Ghibli  (2014–2019) Electric Parking Brake (EPB) Switch ,6700207730,14.55
